metrics	av_accuracy	av_time	accuracy	time
['5' 'equal' 'sheppard_work' 'minkowski']	0.4634216747542615	0.16827702522277832	"[0.47340426 0.42328042 0.47619048 0.47089947 0.47089947 0.49473684
 0.48148148 0.45502646 0.43085106 0.45744681]"	"[0.16001296 0.15930653 0.15903687 0.15876031 0.16149807 0.16408038
 0.15891123 0.15904093 0.22617316 0.17594981]"
['5' 'equal' 'sheppard_work' 'euclidean']	0.46608121959745696	0.1646050453186035	"[0.49468085 0.46560847 0.48677249 0.40740741 0.46560847 0.48947368
 0.47089947 0.49206349 0.44680851 0.44148936]"	"[0.17734694 0.16290188 0.16230845 0.16219354 0.16265845 0.16363692
 0.16781354 0.16324139 0.16122198 0.16272736]"
['5' 'equal' 'sheppard_work' 'chebyshev']	0.49253660155115925	1.268146538734436	"[0.49468085 0.43915344 0.51322751 0.49206349 0.49206349 0.55263158
 0.50793651 0.48148148 0.45212766 0.5       ]"	"[1.22339272 1.24925995 1.23246264 1.33893347 1.24591351 1.34125614
 1.24669051 1.24644327 1.24228287 1.3148303 ]"
['5' 'mutual_info' 'majority_class' 'minkowski']	0.9576210028617644	0.1616807460784912	"[0.94148936 0.96825397 0.93650794 0.97354497 0.93650794 0.94736842
 0.97883598 0.98412698 0.96808511 0.94148936]"	"[0.1611433  0.16122866 0.16381836 0.1627562  0.16064    0.16197681
 0.16091466 0.1610806  0.16325569 0.15999317]"
['5' 'mutual_info' 'majority_class' 'euclidean']	0.9628924557256024	0.16138005256652832	"[0.94148936 0.97354497 0.95767196 0.97354497 0.94179894 0.97368421
 0.97883598 0.98941799 0.96276596 0.93617021]"	"[0.16010499 0.16248775 0.16102004 0.16222811 0.16111541 0.16131878
 0.16028357 0.16131973 0.16001749 0.16390467]"
['5' 'mutual_info' 'majority_class' 'chebyshev']	0.9586567482536127	1.2534016609191894	"[0.94148936 0.97354497 0.96296296 0.97354497 0.93650794 0.95789474
 0.97883598 0.98412698 0.94680851 0.93085106]"	"[1.24405408 1.20542812 1.21477556 1.21065903 1.22826362 1.35249162
 1.31475711 1.23397088 1.21692681 1.31268978]"
['5' 'mutual_info' 'inverse_distance' 'minkowski']	0.46821747038992284	0.1645054817199707	"[0.5212766  0.41269841 0.5026455  0.48148148 0.45502646 0.51578947
 0.42328042 0.44444444 0.44148936 0.48404255]"	"[0.17190099 0.16245461 0.16742778 0.16273952 0.16461062 0.16444635
 0.16359091 0.16278291 0.1628902  0.16221094]"
['5' 'mutual_info' 'inverse_distance' 'euclidean']	0.4724559329766497	0.16270997524261474	"[0.5106383  0.41798942 0.48677249 0.44973545 0.48148148 0.52105263
 0.46560847 0.43915344 0.47340426 0.4787234 ]"	"[0.16296506 0.16234708 0.16215754 0.16215158 0.16308832 0.16452527
 0.16310501 0.16318035 0.16134167 0.16223788]"
['5' 'mutual_info' 'inverse_distance' 'chebyshev']	0.4830548889955385	1.256925344467163	"[0.5212766  0.41798942 0.48148148 0.46560847 0.5026455  0.53157895
 0.46560847 0.46031746 0.5106383  0.47340426]"	"[1.24191546 1.30104971 1.22874331 1.2296648  1.23450065 1.24508429
 1.31930995 1.23731279 1.310179   1.22149348]"
['5' 'mutual_info' 'sheppard_work' 'minkowski']	0.48147321613726995	0.16656100749969482	"[0.51595745 0.44973545 0.49206349 0.47089947 0.46031746 0.53157895
 0.43386243 0.46031746 0.5106383  0.4893617 ]"	"[0.16902709 0.1650703  0.16398668 0.16411829 0.18396378 0.16464043
 0.16551971 0.1635294  0.16273475 0.16301966]"
