metrics	av_accuracy	av_time	accuracy	time
['5' 'mutual_info' 'majority_class' 'euclidean']	0.9642139364046187	0.8812150239944458	"[0.96533333 0.95767196 0.96816976 0.96551724 0.97354497 0.96296296
 0.96031746 0.94973545 0.97877984 0.96010638]"	"[1.05418253 0.90271258 0.86357403 0.83728337 0.80041289 0.79946756
 0.8338058  0.80385208 0.80882978 1.1080296 ]"
['5' 'mutual_info' 'majority_class' 'chebyshev']	0.9634266235299984	10.28804452419281	"[0.96533333 0.95502646 0.9602122  0.96551724 0.96296296 0.94973545
 0.96825397 0.95238095 0.97877984 0.97606383]"	"[10.19064212 11.16302061 10.66156554 10.465734   10.54706264 11.05750084
 10.03725863  9.57757258  9.60238218  9.5777061 ]"
['5' 'mutual_info' 'inverse_distance' 'minkowski']	0.6089165071063823	0.786592960357666	"[0.61066667 0.62962963 0.6127321  0.62599469 0.57936508 0.66402116
 0.64285714 0.53703704 0.74005305 0.44680851]"	"[0.76462603 0.77795076 0.76184249 0.76109004 0.76247144 0.76754761
 0.77446628 0.76434684 0.77999878 0.95158935]"
['5' 'mutual_info' 'inverse_distance' 'euclidean']	0.6335597921819491	0.7661212921142578	"[0.62666667 0.65608466 0.63129973 0.66578249 0.67989418 0.61375661
 0.65079365 0.61111111 0.72148541 0.4787234 ]"	"[0.76276422 0.7662394  0.76759148 0.76986814 0.77255487 0.76685214
 0.76278877 0.76553535 0.76514006 0.76187849]"
['5' 'mutual_info' 'inverse_distance' 'chebyshev']	0.6190082627054747	10.12746102809906	"[0.664      0.46560847 0.60212202 0.63660477 0.66137566 0.66402116
 0.67460317 0.66666667 0.68965517 0.46542553]"	"[ 9.47201157  9.65885067  9.59333706  9.68819904  9.693784    9.93580508
 11.3333745  10.46668673 11.0411489  10.39141273]"
['5' 'mutual_info' 'sheppard_work' 'minkowski']	0.6333403169287982	0.8932891130447388	"[0.66133333 0.55555556 0.67374005 0.58885942 0.58201058 0.64814815
 0.67195767 0.66402116 0.79575597 0.49202128]"	"[0.78297281 0.7826941  0.76386452 0.94254303 0.95940375 0.98064637
 1.09116364 0.84484863 0.92411399 0.86064029]"
['5' 'mutual_info' 'sheppard_work' 'euclidean']	0.5980623621969182	0.7752299070358276	"[0.65866667 0.53703704 0.66047745 0.50397878 0.60846561 0.57142857
 0.66931217 0.63492063 0.73740053 0.39893617]"	"[0.77289176 0.77130795 0.80629349 0.77644849 0.76928496 0.76528478
 0.76858115 0.77426004 0.77385092 0.77409554]"
['5' 'mutual_info' 'sheppard_work' 'chebyshev']	0.6255668431728593	10.56437087059021	"[0.56       0.57142857 0.65251989 0.68435013 0.72222222 0.66931217
 0.71164021 0.52116402 0.70026525 0.46276596]"	"[ 9.55298352  9.59049535  9.69760108  9.72767591 11.3323319  11.97230506
 11.1986897  12.72527432 10.2839036   9.56244826]"
['5' 'relief' 'majority_class' 'minkowski']	0.935853607298655	0.7911771059036254	"[0.94133333 0.93386243 0.94164456 0.92572944 0.94179894 0.92592593
 0.92857143 0.93121693 0.94164456 0.94680851]"	"[1.00037336 0.86506033 0.75654769 0.76870775 0.7553966  0.74864244
 0.76217318 0.75161958 0.75544024 0.74780989]"
['5' 'relief' 'majority_class' 'euclidean']	0.9345294450610666	0.9734278440475463	"[0.94133333 0.93121693 0.94429708 0.92838196 0.93915344 0.92328042
 0.92857143 0.92592593 0.94164456 0.94148936]"	"[1.170084   0.82802153 0.88400126 0.83006454 1.16107011 1.09219742
 0.85918927 1.24497843 0.87896848 0.78570342]"
